,French,English
173,soir,evening
174,autres,others
175,ii,ii
176,toute,all
177,bonjour,Hello
178,ll,ll
179,maison,House
180,nom,name
181,argent,money
182,nos,our
183,ouais,Yeah
184,pense,think
185,merde,shit
186,nuit,night
187,papa,dad
188,cela,that
189,salut,Salvation
190,cet,this
191,avons,have
192,reste,just stay
193,désolé,sorry
194,maman,mom
195,peur,fear
196,arrive,come
197,vite,quickly
198,prendre,take
199,regarde,looked
200,air,air
201,soit,that is
202,trois,three
203,quelle,what
204,passé,pass
205,savoir,to know
206,plaît,please
207,choses,things
208,moins,less
209,fils,son
210,entre,Between
211,bas,low
212,appelle,call
213,passe,past
214,ah,ah
215,tête,head
216,demain,tomorrow
217,grand,big
218,arrête,stopped
219,faites,done
220,voulez,want
221,hé,Hey
222,attends,hold on
223,hein,eh
224,enfants,kids
225,assez,enough
226,raison,raison
227,aurais,would have
228,voulais,wanted
229,elles,they
230,parle,speak
231,ok,OK
232,jours,days
233,dû,from
234,moment,moment
235,heure,time
236,puis,then
237,gars,guys
238,hommes,men
239,amour,love
240,tard,late
241,toutes,all
242,sommes,are
243,tuer,to kill
244,eh,eh
245,ami,friend
246,connais,know
247,petite,small
248,aider,to help
249,chance,luck
250,savez,know
251,partir,to leave
252,sait,know
253,combien,How many
254,voiture,car
255,tant,so much
256,pris,taken
257,part,go
258,problème,problem
259,prends,take
260,porte,carries
261,coup,blow
262,serait,would
263,venir,to come
264,hui,hui
265,famille,family
266,travail,work
267,pu,could
268,seule,alone
269,sens,senses
270,ni,or
271,allons,lets go
272,revoir,meet again
273,idée,idea
274,putain,whore
275,passer,to pass
276,contre,vs
277,comprends,understand
278,entendu,understood
279,trouvé,find
280,trouver,to find
281,vieux,old
282,vient,come
283,pendant,during
284,aurait,would have
285,quelques,some
286,attention,Warning
287,demande,demand
288,chercher,to look for
289,sous,under
290,voici,here is
291,pourrait,could
292,sang,blood
293,pouvez,can
294,sortir,exit
295,question,question
296,histoire,story
297,amis,friends
298,venez,come
299,frère,brother
300,rester,to stay
301,fini,finished
302,ville,town
303,nouveau,new
304,truc,thing
305,tiens,take
306,mois,month
307,eux,them
308,mec,guy
309,yeux,eyes
310,laisse,leave alone
311,super,Great
312,belle,beautiful
313,longtemps,long time
314,police,police
315,eau,water
316,heures,time
317,car,because
318,importe,imported
319,cas,case
320,vont,are going
321,chaque,each
322,terre,Earth
323,place,square
324,tué,kill
325,type,type
326,main,hand
327,pardon,sorry
328,ensemble,together
329,seulement,only
330,guerre,war
331,beau,handsome
332,vers,towards
333,mme,Mrs
334,prie,pray
335,devant,before
336,trouve,find
337,partie,part
338,suite,continued
339,compris,understood
340,matin,morning
341,leurs,their
342,aucun,any
343,arrivé,come
344,dessus,above
345,chérie,Dear
346,mettre,to put
347,aide,aid
348,étaient,were
349,ie,ie
350,perdu,lost
351,fin,end
352,sois,be
353,premier,first
354,genre,kind
355,aimerais,would like to
356,droit,law
357,donne,given
358,attendez,wait
359,jeune,young
360,feu,fire
361,devrais,should
362,enfant,child
363,chambre,bedroom
364,gros,fat
365,côté,side
366,venu,came
367,loin,far
368,laisser,to leave
369,donner,to give
370,jouer,player
371,savais,knew
372,compte,account
373,s,s
374,parlé,speak
375,minutes,minutes
376,regardez,look
377,train,train
378,première,first
379,pouvoir,power
380,aura,will have
381,mourir,pass away
382,dernière,last
383,donné,given
384,ia,IA
385,mari,husband
386,écoute,listen
387,enfin,finally
388,devrait,should
389,mis,put
390,film,movie
391,aucune,any
392,fort,strong
393,façon,way
394,pays,country
395,prêt,ready
396,madame,Mrs
397,femmes,women
398,affaire,case
399,pourrais,could
400,espère,hope
401,parti,left
402,h,h
403,boulot,gig
404,endroit,place
405,fou,crazy
406,corps,body
407,hier,yesterday
408,dont,of which
409,désolée,sorry
410,grande,big
411,point,point
412,cinq,five
413,dehors,outside
414,filles,girls
415,cause,cause
416,vivre,to live
417,près,close
418,pensais,thought
419,garçon,boy
420,chef,chief
421,haut,high
422,capitaine,captain
423,dirait,would say
424,bébé,baby
425,celui,the one
426,demandé,demand
427,possible,possible
428,mains,hands
429,ainsi,so
430,quatre,four
431,nouvelle,New
432,années,years
433,plein,full
434,semaine,week
435,dites,say
436,croire,to believe
437,marche,walk
438,tour,tower
439,école,school
440,manger,to eat
441,plutôt,rather
442,docteur,doctor
443,ceux,those
444,vérité,truth
445,vue,view
446,arrêter,Stop
447,essaie,trial
448,envie,desire
449,bientôt,soon
450,instant,instant
451,dernier,last
452,affaires,business
453,arriver,to arrive
454,demander,request
455,meilleur,better
456,font,make
457,derrière,behind
458,c,vs
459,dollars,dollars
460,presque,almost
461,dr,drudgery
462,tellement,such
463,tomber,to fall
464,journée,daytime
465,voulait,wanted to
466,appeler,to call
467,bureau,office
468,confiance,trust
469,garde,keep
470,attendre,expect
471,numéro,number
472,serai,will be
473,dur,hard
474,á,at
475,souviens,remember
476,o,o
477,voyez,see
478,cours,Classes
479,bonsoir,good evening
480,route,road
481,fera,will do
482,prend,take
483,cul,ass
484,abord,on board
485,important,important
486,peine,sadness
487,croyais,believed
488,mot,word
489,devez,must
490,suffit,suffice
491,minute,minute
492,ferme,closed
493,ben,ben
494,plaisir,pleasure
495,chien,dog
496,jeu,Game
497,seigneur,Lord
498,messieurs,gentlemen
499,calme,calm
500,voudrais,would like
501,heureux,happy
502,prenez,take
503,mariage,marriage
504,voit,sees
505,parents,parents
506,lls,LLS
507,dedans,inside
508,entrer,enter
509,lit,bed
510,parfait,perfect
511,fous,crazy
512,mlle,Ms
513,rentrer,to return
514,ait,have
515,musique,music
516,arrêtez,stop
517,autant,so much
518,service,service
519,reviens,come back
520,ceci,this
521,drôle,funny
522,attend,waits
523,parfois,sometimes
524,téléphone,telephone
525,retour,return
526,ira,IRA
527,e,e
528,pauvre,poor
529,verre,glass
530,général,general
531,new,new
532,six,six
533,pensé,think
534,l,I
535,impossible,impossible
536,fête,Party
537,adore,adore
538,coeur,heart
539,aimes,aime
540,ci,this
541,ferai,do
542,président,President
543,doute,doubt
544,facile,easy
545,entends,mean
546,payer,pay
547,appelé,called
548,prison,jail
549,john,john
550,sors,go outside
551,café,Coffee
552,vaut,worth
553,mauvais,Wrong
554,chéri,Dear
555,oublié,forget it
556,bras,arms
557,i,i
558,gentil,kind
559,faute,mistake
560,équipe,team
561,exactement,exactly
562,cœur,heart
563,penser,think
564,changer,change
565,commence,start
566,lieu,location
567,entendre,to hear
568,ies,IES
569,roi,King
570,plan,plan
571,partout,everywhere
572,joue,play
573,cher,Dear
574,morts,dead
575,rendre,to return
576,écrit,writing
577,travailler,to work
578,malade,sick
579,sinon,otherwise
580,génial,awesome
581,regarder,look
582,veulent,want
583,montrer,to show
584,rentre,go home
585,travaille,work
586,armée,army
587,voulu,desired
588,cherche,look for
589,état,state
590,boire,drink
591,sécurité,security
592,dès,from
593,esprit,spirit
594,année,year
595,dix,ten
596,york,york
597,laissé,leave alone
598,bois,wood
599,mets,dish
600,propre,own
601,soyez,be
602,jack,jack
603,essayer,to try
604,faisait,made
605,tôt,early
606,surtout,Above all
607,arme,armed
608,t,t
609,rêve,dream
610,perdre,to lose
611,avis,opinion
612,semble,seems
613,pire,worse
614,simple,simple
615,penses,thoughts
616,parles,parlets
617,paix,peace
618,livre,delivered
619,dormir,to sleep
620,voyons,Let's see
621,difficile,difficult
622,retard,delay
623,allait,was going to
624,d,d
625,sujet,topic
626,appris,learned
627,ensuite,then
628,sauf,except
629,maître,master
630,morte,dead
631,noir,black
632,or,gold
633,dîner,having dinner
634,choix,choice
635,serais,would be
636,écoute,listen
637,sale,dirty
638,étiez,Were you
639,sûrement,surely
640,an,year
641,ordre,order
642,souvent,often
643,essayé,try
644,peuvent,can
645,visage,face
646,bout,end
647,changé,exchange
648,sérieux,serious
649,inquiète,worry
650,âge,age
651,photo,Photo
652,rue,Street
653,tirer,shoot
654,comprendre,to understand
655,face,face
656,semaines,weeks
657,marché,Marlet
658,questions,Questions
659,honneur,honor
660,ciel,sky
661,allé,go
662,garder,keep
663,chemin,path
664,grave,serious
665,gauche,left
666,petits,small
667,courant,running
668,amie,friend
669,nouvelles,news
670,avion,plane
671,con,con
672,content,happy
673,force,strength
674,millions,millions
675,oublie,forget it
676,devoir,Homework
677,prochaine,next
678,prix,price
679,propos,about
680,bateau,boat
681,bouge,move
682,voix,voice
683,rouge,Red
684,restez,STAY
685,celle,that
686,pouvais,could
687,personnes,people
688,ferais,make
689,début,start
690,espèce,species
691,gueule,mouth
692,acheter,to buy
693,continue,keep on going
694,sort,fate
695,faim,hunger
696,long,long
697,j,j
698,voyage,travel
699,message,message
700,sorte,sort
701,reçu,received
702,bienvenue,welcome
703,idiot,idiot
704,certains,some
705,hôpital,hospital
706,promis,promised
707,devenir,to become
708,ouvre,opened
709,grâce,Grace
710,sûre,safe
711,problèmes,problems
712,armes,weapons
713,trucs,tricks
714,camp,camp
715,allais,went
716,occupe,to keep busy
717,devait,be
718,manque,lack
719,connaissez,know
720,thé,tea
721,avaient,had
722,cheveux,hair
723,soleil,Sun
724,salle,Hall
725,gagner,to earn
726,laissez,let
727,erreur,error
728,cru,believed
729,pars,pars
730,bizarre,bizarre
731,croyez,believe
732,sac,bag
733,hôtel,hotel
734,oncle,uncle
735,pièce,room
736,pouvait,could
737,fond,fund
738,soirée,evening
739,secret,secret
740,patron,boss
741,rapport,report
742,apprendre,to learn
743,commencé,start
744,sauver,to save
745,seconde,second
746,pensez,think
747,allô,Hello
748,ailleurs,elsewhere
749,agent,agent
750,froid,cold
751,seras,be
752,pied,foot
753,jolie,pretty one
754,revenir,return
755,scène,scene
756,pieds,feet
757,n,not
758,devons,must
759,groupe,group
760,carte,map
761,aurai,will have
762,effet,effect
763,neuf,new
764,fallait,fell
765,monte,mounted
766,battre,to beat
767,noël,Christmas
768,venue,come
769,mots,words
770,tire,drawn
771,droite,law
772,libre,free
773,soeur,sister
774,situation,situation
775,seront,will be
776,faux,false
777,bordel,mess
778,foutre,cum
779,lumière,light
780,euh,uh
781,incroyable,incredible
782,tue,kill
783,joli,attractive
784,connaît,know
785,debout,upright
786,colonel,colonel
787,cheval,horse
788,écoutez,Listen
789,george,george
790,joe,joe
791,vieille,old woman
792,entrez,Come in
793,intérieur,interior
794,coin,corner
795,auras,auras
796,gagné,won
797,fric,money
798,loi,law
799,absolument,absoutely
800,dame,lady
801,cool,cool
802,magnifique,magnificent
803,dos,back
804,occuper,to occupy
805,présent,here
806,retrouver,to regain
807,réussi,succeeded
808,frank,frank
809,rencontrer,meet
810,aviez,had
811,meilleure,best
812,âme,soul
813,prêts,loans
814,doucement,gently
815,table,table
816,lettre,letter
817,rappelle,remember
818,sam,sat
819,fut,was
820,risque,risk
821,ordres,orders
822,appel,call
823,commencer,to start
824,terminé,ended
825,agit,act
826,blanc,White
827,sœur,sister
828,pareil,the same
829,charlie,Charlie
830,chaud,hot
831,finir,to finish
832,touche,hit
833,avance,advance
834,ignore,ignore
835,meurtre,murder
836,tranquille,calm
837,anniversaire,birthday
838,déjeuner,lunch
839,disais,ray
840,bord,edge
841,tom,tom
842,jeunes,youth
843,accident,accident
844,parlez,speak
845,fasse,do
846,complètement,completely
847,déteste,hated
848,clair,clear
849,marcher,to walk
850,disait,said
851,mauvaise,nad
852,envoyé,sent
853,â,at
854,professeur,professor
855,heureuse,happy
856,doivent,have to
857,midi,midday
858,lire,read
859,moyen,Medium
860,ferait,would do
861,commandant,commanding officer
862,vraie,true
863,sept,seven
864,forme,form
865,tombe,grave
866,silence,silence
867,sortez,go out
868,connaître,to know
869,puisse,can
870,cadeau,gift
871,flics,flickers
872,mer,Wed
873,médecin,doctor
874,exact,exact
875,décidé,decided
876,moitié,half
877,surprise,surprise
878,avocat,attorney
879,montre,show
880,b,b
881,su,su
882,porter,carry
883,télé,TV
884,vivant,living
885,jure,sworn
886,disent,say
887,mr,mr
888,serez,will be
889,devriez,should
890,devenu,to have become
891,aimé,like
892,diable,Devil
893,ligne,line
894,mission,mission
895,suppose,Assumed
896,chacun,each
897,autour,around
898,pote,mate
899,grosse,big
900,expliquer,to explain
901,arrivée,arrival
902,monter,ascend
903,balle,ball
904,selon,according to
905,photos,Pictures
906,contrôle,control
907,prête,ready
908,anglais,English
909,sorti,got out
910,k,k
911,bons,good
912,disparu,faded away
913,tenir,hold
914,simplement,simply
915,quitter,leave
916,envoie,send
917,paul,paul
918,aimer,to like
919,voie,way
920,paris,Paris
921,classe,class
922,huit,eight
923,offre,offer
924,poste,job
925,dangereux,dangerous
926,attaque,attack
927,impression,impression
928,folle,crazy
929,michael,Michael
930,mange,eat
931,bravo,well done
932,arrière,back
933,amérique,America
934,suivre,to follow
935,aille,shake
936,oublier,to forget
937,peuple,people
938,baiser,kiss
939,rencontré,meet
940,honte,shame
941,connard,asshole
942,trou,hole
943,retourner,to return to
944,chanson,song
945,change,exchange
946,arrêté,stopped
947,enfer,hell
948,écrire,to write
949,livres,books
950,habitude,habit
951,réponse,response
952,david,david
953,lieutenant,lieutenant
954,savait,knew
955,radio,radio
956,tenez,hold
957,bande,bandaged
958,bob,bob
959,rend,make
960,compagnie,company
961,connu,known
962,secours,rescue
963,danse,dance
964,met,put
965,vol,flight
966,vit,lives
967,conneries,bullshit
968,aurez,will have
969,imagine,conceived
970,boîte,box
971,joué,play
972,triste,sad
973,sud,South
974,lu,read
975,tel,Phone
976,merveilleux,marvellous
977,pute,whore
978,aie,Ouch
979,ressemble,looks like
980,coucher,to sleep
981,ennuis,trouble
982,volé,Fly
983,sortie,exit
984,devais,guess
985,combat,fight
986,bouche,stuffy
987,certain,certain
988,visite,visit
989,existe,exist
990,bête,beast
991,retourne,return
992,approche,approach
993,pourtant,yet
994,plusieurs,various
995,rire,to laugh
996,but,goal
997,sergent,sergeant
998,public,public
999,système,system
1000,présente,present
1001,dirai,say
1002,faudra,will have
1003,écouter,to listen
1004,hors,except
1005,exemple,example
1006,vendre,to sell
1007,continuer,Continue
1008,coups,shots
1009,pourra,may
1010,sympa,nice
1011,nord,North
1012,cuisine,food
1013,époque,era
1014,grands,great
1015,héros,hero
1016,étrange,strange
1017,avenir,to come up
1018,danger,danger
1019,envoyer,send
1020,gouvernement,government
1021,danser,to dance
1022,lune,moon
1023,etre,be
1024,poser,to pose
1025,partez,go through
1026,normal,normal
1027,peau,skin
1028,santé,health
1029,ecoutez,Listen
1030,ouvrir,open
1031,nez,nose
1032,secondes,seconds
1033,amoureux,lover
1034,dommage,shame
1035,pleine,full
1036,mille,thousand
1037,banque,Bank
1038,voler,steal
1039,clé,key
1040,bonnes,good
1041,paraît,appear
1042,servir,to serve
1043,journal,newspaper
1044,village,town
1045,tient,is holding
1046,flic,cop
1047,salaud,bastard
1048,juge,judge
1049,tiré,drawn
1050,cour,court
1051,assis,seated
1052,bruit,noise
1053,terrible,terrible
1054,prochain,next
1055,inspecteur,inspector
1056,liberté,freedom
1057,blague,joke
1058,robe,dress
1059,crime,crime
1060,bière,beer
1061,tas,tas
1062,viennent,are coming
1063,don,Don
1064,reine,Queen
1065,protéger,protect
1066,seuls,only
1067,préfère,favorite
1068,bar,bar
1069,dingue,crazy
1070,vent,wind
1071,pitié,pity
1072,croit,believer
1073,payé,paid
1074,travers,through
1075,club,club
1076,garçons,boys
1077,conseil,advice
1078,mesdames,ladies
1079,sol,ground
1080,bonheur,happiness
1081,rêves,dream
1082,centre,center
1083,thé,tea
1084,mêmes,true
1085,avions,planes
1086,mike,mike
1087,nulle,nothing
1088,stupide,dumb
1089,pouvons,can
1090,vin,wine
1091,tante,aunt
1092,sent,feel
1093,fiche,form
1094,milieu,environment
1095,signe,sign
1096,unis,United
1097,appelez,call
1098,départ,departure
1099,inutile,useless
1100,emmener,bring
1101,comprenez,understand
1102,liste,listing
1103,gamin,kid
1104,johnny,johnny
1105,hey,hey
1106,prise,socket
1107,savent,know
1108,différent,different
1109,verra,will see
1110,probablement,probably
1111,intérêt,interest
1112,choisi,selected
1113,parole,speech
1114,ennemi,enemy
1115,vêtements,clothes
1116,aimez,like
1117,recherche,research
1118,société,society
1119,faisais,made
1120,peter,to fart
1121,œil,eye
1122,soin,care
1123,chère,Dear
1124,tourne,turned
1125,ià,ià
1126,descendre,go down
1127,félicitations,congratulations
1128,pose,pose
1129,position,position
1130,oeil,eye
1131,vouloir,want to
1132,mecs,guys
1133,irai,Irai
1134,spectacle,show
1135,acheté,bought
1136,laquelle,which
1137,rôle,role
1138,intéresse,interested
1139,utiliser,use
1140,match,match
1141,devient,bECOMES
1142,quitté,quits
1143,asseoir,Sit
1144,environ,about
1145,plait,pleasant
1146,mur,Wall
1147,blessé,hurt
1148,mise,betting
1149,harry,harry
1150,you,you
1151,beauté,beauty
1152,salope,slut
1153,parie,parity
1154,sert,serve
1155,soldats,soldiers
1156,films,movies
1157,américain,American
1158,marier,marry
1159,entrée,Entrance
1160,soldat,soldier
1161,ouvert,open
1162,sauter,to jump
1163,londres,London
1164,eiie,eieie
1165,lequel,which
1166,lâche,cowardly
1167,église,church
1168,pierre,rock
1169,art,art
1170,fenêtre,window
1171,humain,human
1172,tort,wrong
1173,cerveau,brain
1174,coupable,guilty
1175,petites,small
1176,promets,promises
1177,adresse,address
1178,prince,prince
1179,quartier,district
1180,espoir,hope
1181,conduire,to drive
1182,auriez,would have
1183,ridicule,ridiculous
1184,justice,justice
1185,rose,pink
1186,venus,Venus
1187,max,max
1188,jimmy,jimmy
1189,presse,hurry
1190,adieu,farewell
1191,revient,come back
1192,expérience,experience
1193,présenter,to present
1194,tombé,grave
1195,faisons,Let's do
1196,épouser,marry
1197,frères,brothers
1198,veuillez,please
1199,revenu,income
1200,colère,anger
1201,bill,bill
1202,vis,screw
1203,james,James
1204,pourriez,could
1205,jim,jim
1206,intéressant,interesting
1207,ouvrez,open
1208,nature,nature
1209,gosse,kid
1210,taxi,Taxi
1211,fier,proud
1212,preuve,evidence
1213,riche,rich
1214,faudrait,we should
1215,base,based
1216,fleurs,flowers
1217,vide,empty
1218,portes,doors
1219,mademoiselle,miss
1220,formidable,wonderful
1221,nul,bad
1222,directeur,director
1223,chanter,to sing
1224,contact,contact
1225,histoires,stories
1226,marié,married
1227,défense,defense
1228,répondre,to respond
1229,excuse,excuse
1230,responsable,responsible
1231,deuxième,second
1232,mary,Mary
1233,san,sanity
1234,appartement,apartment
1235,décision,decision
1236,cinéma,movie theater
1237,jeter,to throw
1238,aimais,liked
1239,cacher,hide
1240,glace,ice cream
1241,occasion,occasion
1242,dents,teeth
1243,vacances,vacation
1244,course,race
1245,ravi,delighted
1246,tueur,killer
1247,sentir,feel
1248,courage,courage
1249,jésus,Jesus
1250,allée,alley
1251,capable,able
1252,essayez,try
1253,sauvé,Safe
1254,longue,long
1255,parmi,among
1256,continuez,continue
1257,paie,pay
1258,superbe,superb
1259,français,French
1260,souvenir,memory
1261,ouest,Where is
1262,dégage,clear
1263,jambes,legs
1264,coupe,chopped off
1265,immédiatement,immediately
1266,machine,machine
1267,épouse,spouse
1268,telle,such
1269,marie,married
1270,mien,mine
1271,pius,pike
1272,certainement,certainly
1273,bombe,bomb
1274,types,guys
1275,p,p
1276,né,not
1277,manière,manner
1278,gagne,wins
1279,prévu,foreseen
1280,chier,take a dump
1281,trouves,found
1282,u,u
1283,idées,ideas
1284,touché,touch
1285,rendu,rendering
1286,monstre,monster
1287,km,km
1288,retrouve,found
1289,ha,Ha
1290,f,f
1291,importance,importance
1292,joie,joy
1293,dérange,disturbs
1294,arrivent,arrive
1295,court,short
1296,pont,bridge
1297,foutu,fucked
1298,bain,bath
1299,oubliez,forget
1300,tourner,turn
1301,contente,satisfied
1302,attendais,expected
1303,cent,hundred
1304,enchanté,Nice To Meet You
1305,signifie,mean
1306,américains,Americans
1307,iis,IIS
1308,quitte,quits
1309,poisson,fish
1310,henry,Henry
1311,ayez,have
1312,terrain,ground
1313,enquête,investigation
1314,horrible,horrible
1315,chat,cat
1316,certaines,some
1317,r,r
1318,camion,truck
1319,copine,friend
1320,joyeux,joyful
1321,shérif,sheriff
1322,ramener,to bring back
1323,descends,descend
1324,éviter,to avoid
1325,projet,project
1326,and,and
1327,dossier,case
1328,respect,respect
1329,excellent,excellent
1330,envers,towards
1331,mariée,married
1332,occupé,busy
1333,lorsque,when
1334,blanche,White
1335,majesté,majesty
1336,rencontre,meet
1337,toucher,to touch
1338,ange,angel
1339,refuse,refuse
1340,charge,charged
1341,billy,billy
1342,chevaux,horses
1343,v,v
1344,chiens,dogs
1345,empêcher,to prevent
1346,dure,tough
1347,zone,zoned
1348,faits,fact
1349,animaux,animals
1350,meilleurs,best
1351,plupart,mostly
1352,emmène,take
1353,étions,were
1354,politique,Politics
1355,chaussures,shoes
1356,langue,language
1357,mangé,eat
1358,douleur,pain
1359,planète,planet
1360,offrir,to offer
1361,règles,rules
1362,drogue,drug
1363,réalité,reality
1364,bus,bus
1365,enfoiré,Motherfucker
1366,dirais,would say
1367,permis,license
1368,vécu,lived
1369,chapeau,hat
1370,île,Isle
1371,réunion,meeting
1372,soient,are
1373,contraire,contrary
1374,tony,tony
1375,mettez,put
1376,nick,nick
1377,arrivera,to arrive at
1378,excuser,excuse
1379,code,coded
1380,couleur,color
1381,rapide,quick
1382,raconte,recount
1383,papier,paper
1384,discuter,to discuss
1385,opération,transaction
1386,cartes,cards
1387,nourriture,food
1388,entier,whole
1389,nécessaire,necessary
1390,frais,costs
1391,toilettes,bathroom
1392,spécial,special
1393,vaisseau,vessel
1394,action,action
1395,princesse,Princess
1396,magasin,store
1397,copain,boyfriend
1398,sache,know
1399,bu,drank
1400,steve,steve
1401,découvert,discovered
1402,pain,bread
1403,mignon,cute
1404,taille,cut
1405,sacré,sacred
1406,rends,make
1407,eddie,Eddie
1408,double,double
1409,viendra,will come
1410,imbécile,imbecile
1411,essaye,try
1412,champ,field
1413,personnel,staff
1414,client,customer
1415,lait,milk
1416,contrat,contract
1417,partis,gone
1418,sexe,sex
1419,mienne,mine
1420,repas,meal
1421,mémoire,memory
1422,destin,destiny
1423,direction,direction
1424,dors,doors
1425,faite,done
1426,pleurer,to cry
1427,couteau,knife
1428,malin,smart
1429,remettre,to put back
1430,ray,ray
1431,témoin,witness
1432,restes,remains
1433,mètres,meters
1434,trésor,treasure
1435,gosses,gosses
1436,aiment,like
1437,washington,Washington
1438,habite,reside
1439,foi,faith
1440,puisque,because
1441,apporté,brought
1442,solution,solution
1443,trouvez,find
1444,nouveaux,new
1445,réfléchir,think
1446,choisir,Choose
1447,goût,taste
1448,remercie,thank
1449,détruire,destroy
1450,université,university
1451,doux,soft
1452,beaux,good
1453,raconter,to tell about
1454,vitesse,speed
1455,menti,lie
1456,três,very
1457,procès,trial
1458,enceinte,pregnant
1459,amuser,amuse
1460,niveau,level
1461,vus,viewed
1462,miss,miss
1463,fermer,close
1464,arranger,arrange
1465,end,end
1466,clients,clients
1467,rappeler,recall
1468,Alex,Alex
1469,failli,bankrupt
1470,arbre,tree
1471,papiers,papers
1472,Sarah,Sarah
1473,mérite,deserved
1474,différence,difference
1475,travaillé,work
1476,disons,let's say
1477,bleu,blue
1478,dise,say
1479,aimait,liked
1480,appelles,call
1481,espace,space
1482,caméra,camera
1483,censé,supposed
1484,qu,that
1485,piste,track
1486,sourire,to smile
1487,courir,run
1488,accepter,accept
1489,retrouvé,found
1490,charles,charles
1491,jambe,leg
1492,angleterre,England
1493,quels,what
1494,préparer,to prepare
1495,marre,tired
1496,forces,strengths
1497,tirez,pull
1498,énorme,huge
1499,Danny,Danny
1500,trés,very
1501,invité,invited
1502,rentré,go home
1503,officier,officer
1504,pièces,rooms
1505,lettres,letters
1506,file,line
1507,programme,program
1508,tommy,Tommy
1509,arrêt,stop
1510,fout,fussy
1511,balles,bullets
1512,flingue,fling
1513,chasse,hunt
1514,regrette,regret
1515,to,to
1516,propres,unclear
1517,victime,victim
1518,appartient,belong
1519,france,France
1520,unique,unique
1521,régler,adjust
1522,moindre,lower
1523,compter,to count
1524,voitures,cars
1525,énergie,energy
1526,fil,wire
1527,lycée,high school
1528,crise,crisis
1529,stop,stop
1530,image,picture
1531,vérifier,to verify
1532,dimanche,Sunday
1533,appareil,device
1534,justement,exactly
1535,richard,richard
1536,noms,names
1537,million,million
1538,cassé,broken
1539,enlever,to remove
1540,clés,keys
1541,noire,black
1542,man,man
1543,dépend,depends
1544,derniers,last
1545,doigts,fingers
1546,réponds,answer
1547,honnête,honest
1548,prouver,to prove
1549,preuves,evidence
1550,durant,during
1551,souris,mouse
1552,entendez,hear
1553,lever,raise
1554,oiseau,bird
1555,belles,nice
1556,oû,Where
1557,apporte,brow
1558,grandes,great
1559,morceau,piece
1560,bobby,bobby
1561,bougez,move
1562,amène,bring
1563,interdit,prohibited
1564,présence,presence
1565,récupérer,to recover
1566,quelles,what
1567,manqué,lack
1568,cou,neck
1569,venait,came
1570,étage,stage
1571,regard,look
1572,bouger,to move
1573,finalement,ultimately
1574,couper,to cut
1575,urgence,emergency
1576,perds,perds
1577,points,points
1578,meurt,murder
1579,partons,let's go
1580,troisième,third
1581,savons,soaps
1582,folie,madness
1583,ancien,old
1584,chante,sung
1585,obtenir,to obtain
1586,répète,say again
1587,toit,roof
1588,humains,humans
1589,robert,robert
1590,jardin,garden
1591,métier,job
1592,poche,poached
